item_id,nsn,nomenclature,category,qty_on_hand,qty_required,shortage,unit_of_issue,condition_code,serial_number,sensitivity_class,location_id,responsible_marine,last_inventoried_date,last_inventoried_iso,last_lateral_transfer_date,days_since_inventory,days_since_lateral_transfer,inventory_overdue,nmc_impacting
ITM-002824,5660-39-276-5086,Conex Liner Kit,Class IV — Construction,28,27,0,BD,A,,ROUTINE,WHSE-B2,"Cpl Marin, L.",2026-04-23,2026-04-23T10:00:00+00:00,,4,9999,False,False
ITM-002825,9140-73-073-3647,"MOGAS, 55-gal Drum",Class III — POL,27,27,0,DR,C,,HAZMAT,HAZ-Y1,"Sgt Carrillo, R.",2026-04-21,2026-04-21T00:00:00+00:00,,6,9999,False,False
ITM-002826,2540-11-598-0957,"MTVR Air Filter, Element",Class IX — Repair Parts,17,17,0,EA,A,USMC-UEUYXEFV,CCI,ARM-103,"Sgt Carrillo, R.",2026-02-26,2026-02-26T23:00:00+00:00,2026-01-22,59,95,True,False
ITM-002827,6135-43-017-9979,"Tire, MTVR, 16R20",Class IX — Repair Parts,22,27,5,EA,A,,ROUTINE,WHSE-B1,"SSgt Reyes, J.",2026-04-20,2026-04-20T05:00:00+00:00,2026-03-12,7,45,False,False
ITM-002828,2540-74-098-5508,PRC-117 Battery BB-2590,Class IX — Repair Parts,23,23,0,EA,B,,SENSITIVE,VBAY-03,"Sgt Alvarado, M.",2026-04-06,2026-04-06T04:00:00+00:00,,21,9999,False,False
ITM-002829,9130-32-850-4454,"Coolant, Antifreeze, Gal",Class III — POL,41,43,2,DR,A,,ROUTINE,HAZ-Y1,"SSgt Whitfield, T.",2026-04-08,2026-04-08T21:00:00+00:00,2026-04-26,18,0,False,False
ITM-002830,2320-67-327-3256,"AN/PVS-14 NVG, Mono",Class VII — Major End Items,1,6,5,EA,C,USMC-42QJA6QX,SENSITIVE,ARM-103,"Sgt Olufsen, K.",2026-04-15,2026-04-15T21:00:00+00:00,,11,9999,False,False
ITM-002831,2920-08-525-3034,PRC-117 Battery BB-2590,Class IX — Repair Parts,1,3,2,EA,B,,ROUTINE,VBAY-03,"SSgt Reyes, J.",2026-04-14,2026-04-14T02:00:00+00:00,,13,9999,False,False
ITM-002832,1005-59-794-9261,"M4A1 Carbine, Serialized",Class VII — Major End Items,1,2,1,EA,F,USMC-YWDGWKBJ,SENSITIVE,VBAY-01,"Cpl Boudreau, A.",2026-04-12,2026-04-12T13:00:00+00:00,,14,9999,False,True
ITM-002833,6545-73-724-3331,"Naloxone HCl, 4mg Nasal",Class VIII — Medical,40,39,0,EA,A,,SENSITIVE,MED-CAGE,"Cpl Henderson, B.",2026-04-16,2026-04-16T20:00:00+00:00,2026-04-03,10,24,False,False
ITM-002834,1310-44-939-8605,"7.62 Linked M80A1, 100rd",Class V — Ammunition,41,42,1,BX,A,,ARMS,ARM-101,"Cpl Kowalski, P.",2026-04-19,2026-04-19T22:00:00+00:00,,7,9999,False,False
ITM-002835,5945-18-821-3191,AN/VRC-103 Mount Kit,Class IX — Repair Parts,22,22,0,EA,A,,ROUTINE,WHSE-A1,"SSgt Reyes, J.",2026-04-16,2026-04-16T11:00:00+00:00,,11,9999,False,False
ITM-002836,8415-82-034-0592,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,45,50,5,EA,A,,SENSITIVE,WHSE-B2,"Cpl Henderson, B.",2026-04-22,2026-04-22T19:00:00+00:00,2026-04-16,4,10,False,False
ITM-002837,8420-45-989-7573,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,58,56,0,EA,A,USMC-RU64DRX2,CCI,WHSE-B2,"Cpl Kowalski, P.",2026-04-11,2026-04-11T23:00:00+00:00,2026-03-22,15,35,True,False
ITM-002838,8470-59-392-7181,Civil Affairs Handout Kit,Class X — Non-Mil Programs,137,136,0,KT,A,,ROUTINE,WHSE-B2,"Cpl Iwamoto, K.",2026-04-23,2026-04-23T07:00:00+00:00,,4,9999,False,False
ITM-002839,8465-44-014-7339,"Shemagh, Tan",Class II — Clothing & Individual Equip,77,77,0,EA,B,,SENSITIVE,VBAY-03,"MSgt Quinones, V.",2026-04-16,2026-04-16T07:00:00+00:00,,11,9999,False,False
ITM-002840,1310-13-417-9022,"M18 Smoke, Violet",Class V — Ammunition,45,44,0,BX,A,USMC-NB94BG47,CCI,ARM-101,"Sgt Carrillo, R.",2026-04-18,2026-04-18T16:00:00+00:00,2026-04-07,8,20,False,False
ITM-002841,5660-43-491-2619,"Plywood 4x8, Sheet",Class IV — Construction,166,166,0,BD,C,,ROUTINE,WHSE-B2,"Sgt Alvarado, M.",2026-03-19,2026-03-19T15:00:00+00:00,2026-04-08,38,18,False,False
ITM-002842,8470-05-964-8638,"Humanitarian Tarps, Pallet",Class X — Non-Mil Programs,26,26,0,KT,C,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2026-01-04,2026-01-04T08:00:00+00:00,2026-04-04,113,23,True,False
ITM-002843,2530-29-792-3301,AN/VRC-103 Mount Kit,Class IX — Repair Parts,12,12,0,EA,A,,ROUTINE,WHSE-A2,"Sgt Carrillo, R.",2026-02-28,2026-02-28T13:00:00+00:00,2026-04-27,57,0,False,False
ITM-002844,2530-26-722-3569,"MTVR Air Filter, Element",Class IX — Repair Parts,13,13,0,EA,B,,ROUTINE,WHSE-A2,"Cpl Kowalski, P.",2025-11-19,2025-11-19T01:00:00+00:00,,159,9999,True,False
ITM-002845,5945-41-835-1958,PRC-117 Battery BB-2590,Class IX — Repair Parts,24,29,5,EA,A,,ROUTINE,VBAY-03,"Sgt Carrillo, R.",2026-02-11,2026-02-11T05:00:00+00:00,,75,9999,True,False
ITM-002846,6135-43-332-4115,"MTVR Air Filter, Element",Class IX — Repair Parts,20,22,2,EA,A,,SENSITIVE,ARM-101,"Cpl Henderson, B.",2026-04-12,2026-04-12T17:00:00+00:00,2026-03-31,14,27,False,False
ITM-002847,8430-97-840-6298,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,20,20,0,EA,A,USMC-3HEEFRBU,CCI,WHSE-B2,"Cpl Henderson, B.",2026-04-11,2026-04-11T11:00:00+00:00,2026-04-06,16,20,True,False
ITM-002848,6135-64-617-5878,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,12,12,0,EA,B,,ROUTINE,HAZ-Y1,"Sgt Pham, D.",2025-11-30,2025-11-30T13:00:00+00:00,2026-04-09,147,18,True,False
ITM-002849,1310-28-662-7562,"7.62 Linked M80A1, 100rd",Class V — Ammunition,23,23,0,BX,A,,ARMS,ARM-103,"Sgt Alvarado, M.",2026-04-21,2026-04-21T03:00:00+00:00,,6,9999,False,False
ITM-002850,8910-09-726-1386,"Coffee, Instant, Case",Class I — Subsistence,138,138,0,CS,B,,SENSITIVE,WHSE-A1,"GySgt Yelovich, M.",2026-04-05,2026-04-05T07:00:00+00:00,,22,9999,False,False
ITM-002851,8415-22-148-7006,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,185,186,1,EA,F,,ROUTINE,WHSE-B2,"SSgt Reyes, J.",2026-03-25,2026-03-25T19:00:00+00:00,,32,9999,False,False
ITM-002852,8915-91-586-3124,UGR-A Component Pack,Class I — Subsistence,31,31,0,CS,B,,ROUTINE,WHSE-A2,"Sgt Olufsen, K.",2025-12-11,2025-12-11T03:00:00+00:00,2026-04-06,137,21,True,False
ITM-002853,8415-65-117-6278,"Shemagh, Tan",Class II — Clothing & Individual Equip,40,40,0,EA,A,,SENSITIVE,WHSE-B1,"Cpl Diallo, S.",2026-03-30,2026-03-30T21:00:00+00:00,,27,9999,False,False
ITM-002854,8970-51-154-5749,UGR-A Component Pack,Class I — Subsistence,139,139,0,CS,A,,ROUTINE,WHSE-A1,"GySgt Underwood, R.",2026-02-06,2026-02-06T19:00:00+00:00,2026-03-26,79,31,True,False
ITM-002855,1310-66-983-4477,"M67 Frag, 4-grenade Pack",Class V — Ammunition,40,38,0,BX,A,,ARMS,ARM-101,"Cpl Iwamoto, K.",2026-04-19,2026-04-19T21:00:00+00:00,2026-03-16,7,42,False,False
ITM-002856,1310-92-822-9489,"5.56 Ball M855, 200rd Can",Class V — Ammunition,44,44,0,BX,A,,ARMS,ARM-103,"Sgt Olufsen, K.",2026-04-07,2026-04-07T21:00:00+00:00,,19,9999,True,False
ITM-002857,1330-21-110-5950,"M67 Frag, 4-grenade Pack",Class V — Ammunition,16,16,0,BX,B,,ARMS,ARM-101,"Cpl Henderson, B.",2026-04-05,2026-04-05T08:00:00+00:00,,22,9999,True,False
ITM-002858,6135-27-263-8657,"MTVR Air Filter, Element",Class IX — Repair Parts,22,27,5,EA,A,,ROUTINE,WHSE-B1,"Sgt Olufsen, K.",2026-04-06,2026-04-06T02:00:00+00:00,2026-04-23,21,4,False,False
ITM-002859,8915-63-596-6596,"Bottled Water, Pallet",Class I — Subsistence,180,181,1,CS,C,,ROUTINE,WHSE-A1,"GySgt Underwood, R.",2026-04-06,2026-04-06T08:00:00+00:00,2026-02-24,21,61,False,False
ITM-002860,8415-64-713-6087,"Shemagh, Tan",Class II — Clothing & Individual Equip,52,50,0,EA,F,,ROUTINE,WHSE-B2,"Cpl Diallo, S.",2025-12-23,2025-12-23T12:00:00+00:00,2026-03-23,125,34,True,False
ITM-002861,6135-53-754-4025,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,24,23,0,EA,B,,ROUTINE,WHSE-B1,"Sgt Alvarado, M.",2025-11-30,2025-11-30T04:00:00+00:00,2026-04-19,148,8,True,False
ITM-002862,2540-95-105-4995,JLTV Brake Caliper Assy,Class IX — Repair Parts,1,6,5,EA,B,,SENSITIVE,WHSE-A1,"Cpl Diallo, S.",2026-04-06,2026-04-06T14:00:00+00:00,,20,9999,False,False
ITM-002863,2320-32-748-0681,"M4A1 Carbine, Serialized",Class VII — Major End Items,1,3,2,EA,A,USMC-KZM23DSX,SENSITIVE,WHSE-A2,"GySgt Yelovich, M.",2026-03-25,2026-03-25T01:00:00+00:00,2026-04-02,33,25,True,False
ITM-002864,1305-59-188-6376,"M67 Frag, 4-grenade Pack",Class V — Ammunition,43,44,1,BX,B,,ARMS,ARM-101,"Cpl Boudreau, A.",2026-03-07,2026-03-07T11:00:00+00:00,2026-04-10,51,16,True,False
ITM-002865,2920-84-009-9314,AN/VRC-103 Mount Kit,Class IX — Repair Parts,1,6,5,EA,B,,ROUTINE,MED-CAGE,"Cpl Boudreau, A.",2026-03-04,2026-03-04T10:00:00+00:00,,54,9999,False,False
ITM-002866,2320-60-712-3321,"M240B MG, Serialized",Class VII — Major End Items,1,0,0,EA,C,USMC-ESSQDYXU,SENSITIVE,COMSEC-1,"Sgt Pham, D.",2026-02-17,2026-02-17T00:00:00+00:00,2026-04-21,69,6,True,False
ITM-002867,2920-01-961-7656,"MTVR Air Filter, Element",Class IX — Repair Parts,16,14,0,EA,B,,SENSITIVE,VBAY-03,"Sgt Carrillo, R.",2026-03-31,2026-03-31T14:00:00+00:00,2026-03-14,26,44,False,False
ITM-002868,6515-83-216-6120,"Naloxone HCl, 4mg Nasal",Class VIII — Medical,40,40,0,EA,A,,SENSITIVE,WHSE-A2,"GySgt Yelovich, M.",2026-04-17,2026-04-17T20:00:00+00:00,2026-03-22,9,36,False,False
ITM-002869,2540-64-058-6850,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,19,19,0,EA,A,USMC-B4WKESY2,CCI,VBAY-03,"Cpl Boudreau, A.",2026-04-27,2026-04-27T05:00:00+00:00,2026-04-16,0,11,False,False
ITM-002870,6135-53-425-6851,PRC-117 Battery BB-2590,Class IX — Repair Parts,18,20,2,EA,B,,ROUTINE,VBAY-03,"Sgt Carrillo, R.",2026-03-04,2026-03-04T06:00:00+00:00,2026-04-27,54,0,False,False
ITM-002871,8465-94-514-8153,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,180,179,0,EA,A,,ROUTINE,WHSE-B2,"SSgt Whitfield, T.",2026-04-10,2026-04-10T05:00:00+00:00,,17,9999,False,False
ITM-002872,2540-78-979-4671,PRC-117 Battery BB-2590,Class IX — Repair Parts,5,5,0,EA,B,,SENSITIVE,WHSE-A1,"Cpl Iwamoto, K.",2026-04-14,2026-04-14T05:00:00+00:00,2026-02-24,13,62,False,False
ITM-002873,2530-49-993-2623,PRC-117 Battery BB-2590,Class IX — Repair Parts,3,8,5,EA,F,,ROUTINE,VBAY-03,"Sgt Alvarado, M.",2026-01-07,2026-01-07T00:00:00+00:00,2026-02-12,110,74,True,True
ITM-002874,2540-32-161-4612,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,22,22,0,EA,B,,ROUTINE,VBAY-03,"GySgt Underwood, R.",2026-02-21,2026-02-21T05:00:00+00:00,,65,9999,True,False
ITM-002875,2530-72-155-8782,AN/VRC-103 Mount Kit,Class IX — Repair Parts,20,20,0,EA,A,,SENSITIVE,VBAY-03,"Sgt Carrillo, R.",2026-04-13,2026-04-13T20:00:00+00:00,2026-04-20,13,6,False,False
ITM-002876,5855-73-161-2087,"M4A1 Carbine, Serialized",Class VII — Major End Items,1,2,1,EA,A,USMC-FHRAD3CS,SENSITIVE,VBAY-01,"Cpl Kowalski, P.",2026-04-24,2026-04-24T01:00:00+00:00,,3,9999,False,False
ITM-002877,1305-94-176-4290,"M18 Smoke, Violet",Class V — Ammunition,50,50,0,BX,B,,ARMS,ARM-101,"Sgt Carrillo, R.",2026-04-10,2026-04-10T18:00:00+00:00,2026-03-10,16,47,True,False
ITM-002878,2320-79-729-6643,MTVR MK23 7-ton,Class VII — Major End Items,1,2,1,EA,B,USMC-686MJP7N,SENSITIVE,VBAY-01,"Cpl Kowalski, P.",2026-04-16,2026-04-16T18:00:00+00:00,2026-03-09,10,49,False,False
ITM-002879,1305-97-523-5343,"12-ga 00 Buck, Case",Class V — Ammunition,18,18,0,BX,F,,ARMS,ARM-101,"GySgt Yelovich, M.",2026-04-20,2026-04-20T11:00:00+00:00,,7,9999,False,False
ITM-002880,8415-91-804-8806,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,64,64,0,EA,C,USMC-JRCW8L6Q,CCI,WHSE-B1,"SSgt Reyes, J.",2026-04-19,2026-04-19T10:00:00+00:00,2026-04-21,8,6,False,False
ITM-002881,2530-27-068-4166,"Tire, MTVR, 16R20",Class IX — Repair Parts,8,8,0,EA,A,,ARMS,WHSE-A1,"GySgt Yelovich, M.",2026-04-27,2026-04-27T08:00:00+00:00,2026-04-21,0,5,False,False
ITM-002882,8910-98-399-5161,"MRE Case, Menu A",Class I — Subsistence,63,63,0,CS,A,,SENSITIVE,WHSE-A1,"Sgt Carrillo, R.",2026-04-01,2026-04-01T21:00:00+00:00,2026-04-24,25,2,False,False
ITM-002883,2530-00-960-7413,"M240 Barrel Assy, Quick-Change",Class IX — Repair Parts,22,22,0,EA,F,,ROUTINE,WHSE-B1,"Sgt Pham, D.",2026-02-28,2026-02-28T05:00:00+00:00,,58,9999,False,True
ITM-002884,8915-59-793-0223,UGR-A Component Pack,Class I — Subsistence,148,149,1,CS,A,,ROUTINE,WHSE-A2,"Cpl Diallo, S.",2026-04-17,2026-04-17T21:00:00+00:00,2026-04-06,9,21,False,False
ITM-002885,8415-84-184-2100,"Cold Weather Parka, Med",Class II — Clothing & Individual Equip,88,87,0,EA,F,USMC-P76JBEFQ,CCI,WHSE-B1,"Cpl Kowalski, P.",2026-04-07,2026-04-07T10:00:00+00:00,2026-04-01,20,25,True,False
ITM-002886,6545-61-497-8072,"CAT Tourniquet, Gen-7",Class VIII — Medical,18,18,0,EA,A,,ROUTINE,MED-CAGE,"SSgt Whitfield, T.",2026-02-08,2026-02-08T06:00:00+00:00,2026-04-13,78,14,True,False
ITM-002887,1330-46-757-4708,"9mm Ball M1152, 50rd Box",Class V — Ammunition,26,31,5,BX,C,,ARMS,ARM-101,"Sgt Pham, D.",2026-04-17,2026-04-17T18:00:00+00:00,,9,9999,False,False
ITM-002888,8415-86-538-5217,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,10,12,2,EA,B,,SENSITIVE,WHSE-B1,"Sgt Carrillo, R.",2026-03-04,2026-03-04T21:00:00+00:00,,53,9999,True,False
ITM-002889,8420-50-713-5867,"Shemagh, Tan",Class II — Clothing & Individual Equip,186,186,0,EA,A,,ROUTINE,WHSE-B2,"Cpl Marin, L.",2026-03-30,2026-03-30T06:00:00+00:00,2026-04-13,28,14,False,False
ITM-002890,2920-46-985-5858,JLTV Brake Caliper Assy,Class IX — Repair Parts,1,0,0,EA,B,,ROUTINE,WHSE-B1,"Cpl Henderson, B.",2026-04-13,2026-04-13T00:00:00+00:00,2026-04-02,14,25,False,False
ITM-002891,8530-24-205-4839,"Hygiene Kit, Field, Case",Class VI — Personal Demand,16,16,0,KT,A,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2026-03-20,2026-03-20T02:00:00+00:00,,38,9999,False,False
ITM-002892,2540-15-447-9077,"Tire, MTVR, 16R20",Class IX — Repair Parts,10,10,0,EA,B,,ROUTINE,VBAY-03,"Cpl Henderson, B.",2026-03-02,2026-03-02T14:00:00+00:00,,55,9999,False,False
ITM-002893,6135-87-597-5658,PRC-117 Battery BB-2590,Class IX — Repair Parts,13,11,0,EA,B,,ROUTINE,VBAY-03,"Cpl Marin, L.",2026-04-25,2026-04-25T20:00:00+00:00,,1,9999,False,False
ITM-002894,8465-66-399-7025,"Boot, Combat, Size 10R",Class II — Clothing & Individual Equip,178,183,5,EA,A,,ROUTINE,WHSE-B2,"Sgt Pham, D.",2026-03-23,2026-03-23T17:00:00+00:00,2026-03-23,34,35,False,False
ITM-002895,2540-43-977-7343,JLTV Brake Caliper Assy,Class IX — Repair Parts,6,6,0,EA,F,,SENSITIVE,VBAY-03,"Sgt Carrillo, R.",2026-03-26,2026-03-26T19:00:00+00:00,2026-04-24,31,2,True,True
ITM-002896,9130-21-817-7087,"JP-8, 55-gal Drum",Class III — POL,19,19,0,DR,B,,HAZMAT,HAZ-Y1,"Cpl Diallo, S.",2026-04-20,2026-04-20T03:00:00+00:00,2026-01-31,7,85,False,False
ITM-002897,6545-83-349-2889,"Israeli Bandage 6""",Class VIII — Medical,57,57,0,EA,A,,HAZMAT,MED-CAGE,"Cpl Iwamoto, K.",2026-02-23,2026-02-23T19:00:00+00:00,2026-04-05,62,22,True,False
ITM-002898,8910-03-229-4528,UGR-A Component Pack,Class I — Subsistence,32,31,0,CS,A,,ARMS,WHSE-A1,"Cpl Diallo, S.",2026-04-23,2026-04-23T23:00:00+00:00,,3,9999,False,False
ITM-002899,2540-91-978-5567,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,3,2,0,EA,A,,ROUTINE,WHSE-B1,"Sgt Pham, D.",2026-04-18,2026-04-18T20:00:00+00:00,2026-04-16,8,10,False,False
ITM-002900,1305-53-433-3503,"7.62 Linked M80A1, 100rd",Class V — Ammunition,22,22,0,BX,B,,ROUTINE,ARM-102,"Sgt Pham, D.",2026-02-28,2026-02-28T03:00:00+00:00,,58,9999,False,False
ITM-002901,8430-26-962-4533,"Helmet ECH, Large",Class II — Clothing & Individual Equip,69,74,5,EA,B,,ROUTINE,WHSE-B2,"Cpl Iwamoto, K.",2026-03-19,2026-03-19T19:00:00+00:00,,38,9999,False,False
ITM-002902,5610-32-828-2200,"Sandbag, Empty, Bundle",Class IV — Construction,137,139,2,BD,A,,SENSITIVE,WHSE-B2,"Cpl Boudreau, A.",2026-03-01,2026-03-01T08:00:00+00:00,2026-03-17,57,41,True,False
ITM-002903,6135-54-127-6852,JLTV Brake Caliper Assy,Class IX — Repair Parts,15,14,0,EA,A,,SENSITIVE,WHSE-B1,"Sgt Alvarado, M.",2026-04-05,2026-04-05T10:00:00+00:00,2026-01-18,22,98,False,False
ITM-002904,8465-05-701-0533,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,22,23,1,EA,C,,ROUTINE,WHSE-B1,"Cpl Diallo, S.",2026-03-23,2026-03-23T05:00:00+00:00,2026-03-28,35,30,False,False
ITM-002905,1305-46-762-7931,"M67 Frag, 4-grenade Pack",Class V — Ammunition,22,24,2,BX,B,,ARMS,WHSE-B1,"Cpl Diallo, S.",2026-04-16,2026-04-16T08:00:00+00:00,2026-04-26,11,1,True,False
ITM-002906,6135-47-317-2413,JLTV Brake Caliper Assy,Class IX — Repair Parts,7,6,0,EA,B,,ROUTINE,WHSE-A1,"Sgt Carrillo, R.",2026-03-24,2026-03-24T22:00:00+00:00,,33,9999,False,False
ITM-002907,2540-83-987-8415,PRC-117 Battery BB-2590,Class IX — Repair Parts,23,28,5,EA,A,USMC-D29JZW9M,CCI,WHSE-B1,"GySgt Yelovich, M.",2026-04-21,2026-04-21T22:00:00+00:00,2026-03-11,5,46,False,False
ITM-002908,9130-39-502-7192,"MOGAS, 55-gal Drum",Class III — POL,26,25,0,DR,A,,SENSITIVE,HAZ-Y1,"Cpl Boudreau, A.",2026-03-09,2026-03-09T06:00:00+00:00,2026-04-14,49,13,True,False
ITM-002909,8420-04-171-7398,"Glove, Combat, Black, M",Class II — Clothing & Individual Equip,75,80,5,EA,B,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2025-12-28,2025-12-28T06:00:00+00:00,,120,9999,True,False
ITM-002910,1310-16-900-9771,"9mm Ball M1152, 50rd Box",Class V — Ammunition,39,39,0,BX,A,,ARMS,WHSE-B1,"SSgt Whitfield, T.",2026-04-17,2026-04-17T19:00:00+00:00,2026-04-08,9,19,False,False
ITM-002911,8420-49-495-3665,"Shemagh, Tan",Class II — Clothing & Individual Equip,69,71,2,EA,A,,ROUTINE,WHSE-B2,"Sgt Alvarado, M.",2026-04-03,2026-04-03T11:00:00+00:00,,24,9999,False,False
ITM-002912,2920-57-902-8996,PRC-117 Battery BB-2590,Class IX — Repair Parts,21,23,2,EA,B,,ROUTINE,WHSE-A1,"Cpl Boudreau, A.",2026-01-17,2026-01-17T20:00:00+00:00,2026-03-18,99,40,True,False
ITM-002913,2540-51-054-8716,"Tire, MTVR, 16R20",Class IX — Repair Parts,23,22,0,EA,F,,ROUTINE,VBAY-02,"Sgt Pham, D.",2025-12-13,2025-12-13T13:00:00+00:00,2026-04-10,134,16,True,True
ITM-002914,8415-00-462-3246,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,184,186,2,EA,A,,ROUTINE,WHSE-B2,"Cpl Iwamoto, K.",2026-03-08,2026-03-08T01:00:00+00:00,2026-04-12,50,14,False,False
ITM-002915,5660-55-145-1436,"Concertina Wire, Roll",Class IV — Construction,53,53,0,BD,A,,ROUTINE,WHSE-B1,"GySgt Underwood, R.",2026-04-08,2026-04-08T22:00:00+00:00,,18,9999,False,False
ITM-002916,8470-41-680-4186,"Humanitarian Tarps, Pallet",Class X — Non-Mil Programs,113,113,0,KT,F,,ROUTINE,WHSE-B2,"GySgt Underwood, R.",2026-03-19,2026-03-19T18:00:00+00:00,,38,9999,False,False
ITM-002917,6545-71-149-8318,"Israeli Bandage 6""",Class VIII — Medical,47,48,1,EA,C,,SENSITIVE,MED-CAGE,"SSgt Whitfield, T.",2026-04-21,2026-04-21T05:00:00+00:00,,6,9999,False,False
ITM-002918,2920-77-502-4722,JLTV Brake Caliper Assy,Class IX — Repair Parts,5,4,0,EA,A,,ROUTINE,WHSE-A2,"Sgt Carrillo, R.",2026-02-24,2026-02-24T07:00:00+00:00,2026-03-19,62,38,True,False
ITM-002919,8970-16-551-9577,"MRE Case, Menu B",Class I — Subsistence,124,125,1,CS,A,,ROUTINE,WHSE-A1,"Cpl Kowalski, P.",2026-02-14,2026-02-14T05:00:00+00:00,2026-04-27,72,0,True,False
ITM-002920,1310-15-008-5920,"5.56 Ball M855, 200rd Can",Class V — Ammunition,4,2,0,BX,B,,ARMS,ARM-102,"Cpl Boudreau, A.",2026-04-11,2026-04-11T23:00:00+00:00,,15,9999,True,False
ITM-002921,8530-59-510-7740,"PX Restock Kit, Bundle",Class VI — Personal Demand,192,192,0,KT,A,,ROUTINE,WHSE-B1,"MSgt Quinones, V.",2026-04-06,2026-04-06T15:00:00+00:00,2026-03-31,20,26,False,False
ITM-002922,6135-29-666-4727,PRC-117 Battery BB-2590,Class IX — Repair Parts,3,3,0,EA,A,USMC-ZCUNX8BL,CCI,WHSE-A1,"Cpl Kowalski, P.",2026-04-22,2026-04-22T13:00:00+00:00,2026-03-23,4,35,False,False
ITM-002923,2530-47-332-6910,AN/VRC-103 Mount Kit,Class IX — Repair Parts,21,23,2,EA,B,,ROUTINE,WHSE-A2,"Sgt Alvarado, M.",2026-04-11,2026-04-11T03:00:00+00:00,2026-02-14,16,72,False,False
ITM-002924,6135-63-620-5638,Generator MEP-803A Voltage Regulator,Class IX — Repair Parts,12,17,5,EA,F,,SENSITIVE,WHSE-B1,"GySgt Underwood, R.",2026-03-11,2026-03-11T07:00:00+00:00,,47,9999,True,True
ITM-002925,8465-75-604-2827,"Pack, USMC ILBE, OD",Class II — Clothing & Individual Equip,117,119,2,EA,A,,ROUTINE,WHSE-B2,"Sgt Pham, D.",2026-03-12,2026-03-12T19:00:00+00:00,2026-03-30,45,28,False,False
ITM-002926,1310-57-179-6445,"M67 Frag, 4-grenade Pack",Class V — Ammunition,5,5,0,BX,A,,ARMS,ARM-101,"Cpl Henderson, B.",2026-04-23,2026-04-23T11:00:00+00:00,2026-04-17,4,9,False,False
ITM-002927,5510-96-516-5969,Conex Liner Kit,Class IV — Construction,12,17,5,BD,F,,ROUTINE,WHSE-B2,"SSgt Whitfield, T.",2025-08-07,2025-08-07T09:00:00+00:00,,263,9999,True,False
ITM-002928,8420-38-884-1918,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,48,48,0,EA,C,,SENSITIVE,WHSE-A1,"Cpl Kowalski, P.",2026-04-16,2026-04-16T05:00:00+00:00,2026-04-23,11,3,False,False
ITM-002929,1305-26-779-4425,"M18 Smoke, Violet",Class V — Ammunition,23,25,2,BX,B,,ARMS,ARM-102,"Cpl Iwamoto, K.",2026-04-20,2026-04-20T14:00:00+00:00,2026-02-20,6,66,False,False
ITM-002930,8420-89-584-9507,"Plate Carrier, Medium",Class II — Clothing & Individual Equip,84,83,0,EA,A,,ROUTINE,WHSE-B2,"GySgt Yelovich, M.",2026-03-19,2026-03-19T23:00:00+00:00,,38,9999,False,False
ITM-002931,8415-60-265-6577,"Helmet ECH, Large",Class II — Clothing & Individual Equip,192,192,0,EA,C,,ROUTINE,WHSE-B2,"Sgt Olufsen, K.",2026-03-26,2026-03-26T13:00:00+00:00,,31,9999,False,False
ITM-002932,2320-01-821-8341,"AN/PVS-14 NVG, Mono",Class VII — Major End Items,1,1,0,EA,C,USMC-6A6EXBQC,SENSITIVE,ARM-103,"GySgt Yelovich, M.",2026-04-07,2026-04-07T03:00:00+00:00,2026-01-16,20,101,False,False
ITM-002933,1305-41-804-6280,"5.56 Ball M855, 200rd Can",Class V — Ammunition,30,30,0,BX,A,,ARMS,WHSE-A1,"Sgt Carrillo, R.",2026-04-25,2026-04-25T22:00:00+00:00,,1,9999,False,False
ITM-002934,8465-32-387-8030,"Cold Weather Parka, Med",Class II — Clothing & Individual Equip,17,17,0,EA,A,,ROUTINE,WHSE-B1,"Cpl Boudreau, A.",2026-03-21,2026-03-21T13:00:00+00:00,2026-04-15,36,11,False,False
ITM-002935,1330-95-312-0764,"M18 Smoke, Violet",Class V — Ammunition,27,27,0,BX,A,,ARMS,ARM-101,"Cpl Boudreau, A.",2026-04-23,2026-04-23T07:00:00+00:00,,4,9999,False,False
ITM-002936,8915-97-592-9602,"Bottled Water, Pallet",Class I — Subsistence,11,11,0,CS,A,,ROUTINE,VBAY-03,"Cpl Boudreau, A.",2025-12-12,2025-12-12T06:00:00+00:00,2026-03-02,136,56,True,False
